"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","dataset","epochs","hidden_layers","lr","val_split","epoch/epoch","epoch/learning_rate","epoch/loss","epoch/val_loss"
"Reacher6_arch6_lr0.001_batch32_valS0.5_relu","finished","-","","","2025-12-08T16:37:07.000Z","179","","relu","32","Reacher6","400","[107,107,107,107,107,107]","0.001","0.5","63","0.0010000000474974513","0.37368902564048767","0.729404866695404"
"Reacher6_arch6_lr0.001_batch32_valS0.8_tanh","finished","-","","","2025-12-08T16:34:24.000Z","162","","tanh","32","Reacher6","400","[107,107,107,107,107,107]","0.001","0.8","62","0.0010000000474974513","0.24457882344722748","0.9444813132286072"
"Reacher6_arch6_lr0.001_batch32_valS0.8_relu","finished","-","","","2025-12-08T16:31:35.000Z","167","","relu","32","Reacher6","400","[107,107,107,107,107,107]","0.001","0.8","60","0.0010000000474974513","0.2621248662471771","0.8813249468803406"
"Reacher6_arch6_lr0.001_batch16_valS0.05_tanh","finished","-","","","2025-12-08T16:25:05.000Z","389","","tanh","16","Reacher6","400","[107,107,107,107,107,107]","0.001","0.05","61","0.0010000000474974513","0.5024710297584534","0.6732328534126282"
"Reacher6_arch6_lr0.001_batch16_valS0.05_relu","finished","-","","","2025-12-08T16:18:06.000Z","418","","relu","16","Reacher6","400","[107,107,107,107,107,107]","0.001","0.05","66","0.0010000000474974513","0.4732624590396881","0.6152772307395935"
"Reacher6_arch6_lr0.001_batch16_valS0.1_tanh","finished","-","","","2025-12-08T16:11:49.000Z","376","","tanh","16","Reacher6","400","[107,107,107,107,107,107]","0.001","0.1","59","0.0010000000474974513","0.5015738010406494","0.6811844706535339"
"Reacher6_arch6_lr0.001_batch16_valS0.1_relu","finished","-","","","2025-12-08T16:05:29.000Z","379","","relu","16","Reacher6","400","[107,107,107,107,107,107]","0.001","0.1","63","0.0010000000474974513","0.4728743433952331","0.6318292021751404"
"Reacher6_arch6_lr0.001_batch16_valS0.2_tanh","finished","-","","","2025-12-08T15:59:31.000Z","357","","tanh","16","Reacher6","400","[107,107,107,107,107,107]","0.001","0.2","58","0.0010000000474974513","0.4810995459556579","0.7043566703796387"
"Reacher6_arch6_lr0.001_batch16_valS0.2_relu","finished","-","","","2025-12-08T15:53:17.000Z","373","","relu","16","Reacher6","400","[107,107,107,107,107,107]","0.001","0.2","63","0.0010000000474974513","0.45754918456077576","0.6424498558044434"
"Reacher6_arch6_lr0.001_batch16_valS0.5_tanh","finished","-","","","2025-12-08T15:47:41.000Z","335","","tanh","16","Reacher6","400","[107,107,107,107,107,107]","0.001","0.5","60","0.0010000000474974513","0.4054941236972809","0.7767765522003174"
"Reacher6_arch6_lr0.001_batch16_valS0.5_relu","finished","-","","","2025-12-08T15:42:04.000Z","336","","relu","16","Reacher6","400","[107,107,107,107,107,107]","0.001","0.5","58","0.0010000000474974513","0.40495920181274414","0.704180896282196"
"Reacher6_arch6_lr0.001_batch16_valS0.8_tanh","finished","-","","","2025-12-08T15:36:37.000Z","326","","tanh","16","Reacher6","400","[107,107,107,107,107,107]","0.001","0.8","62","0.0010000000474974513","0.22730478644371033","0.9613723158836364"
"Reacher6_arch10_lr0.0001_batch128_valS0.05_tanh","finished","-","","","2025-12-08T15:31:44.000Z","172","","tanh","128","Reacher6","400","[64,64,64,64,64,64,64,64,64,64]","0.0001","0.05","399","0.00009999999747378752","0.5291933417320251","0.5629724264144897"
